scenario,total_outcomes,favorable_outcomes,probability_fraction,probability_decimal,probability_percentage,odds_against,is_lean_example
Coin Flip,2,1,1/2,0.5,50.0,1:1,False
Fair Die Even,6,3,3/6,0.5,50.0,3:3,False
Fair Die Low,6,3,3/6,0.5,50.0,3:3,False
Card Red,52,26,26/52,0.5,50.0,26:26,False
Card Face,52,12,12/52,0.23076923076923078,23.076923076923077,40:12,False
Small Lottery,10,1,1/10,0.1,10.0,9:1,False
Medium Lottery,100,2,2/100,0.02,2.0,98:2,False
Multiple Outcomes,20,11,11/20,0.55,55.00000000000001,9:11,False
Rare Event,1000,3,3/1000,0.003,0.3,997:3,False
Common Event,10,8,8/10,0.8,80.0,2:8,False
