u_elements,v_elements,result_elements,is_commutative
"[5, 0]","[5, 5, 5, 3]","[10, 5, 5, 3]",True
"[1, 0]","[0, 7, 8]","[1, 7, 8]",True
"[3, 7]","[7, 8]","[10, 15]",True
"[3, 7]","[0, 0, 0, 0, 0]","[3, 7, 0, 0, 0]",True
"[1, 6]","[3, 7]","[4, 13]",True
"[1, 2, 3]",[5],"[6, 2, 3]",True
"[7, 8]","[1, 6]","[8, 14]",True
"[1, 2, 3]","[1, 1, 1]","[2, 3, 4]",True
"[6, 1, 5, 4]","[3, 7]","[9, 8, 5, 4]",True
[5],[7],[12],True
"[7, 8]","[7, 2, 9]","[14, 10, 9]",True
"[1, 1, 1]","[1, 1, 1]","[2, 2, 2]",True
"[6, 1, 5, 4]","[2, 1, 4, 3]","[8, 2, 9, 7]",True
"[1, 0]","[6, 1, 5, 4]","[7, 1, 5, 4]",True
"[1, 1, 1]","[1, 0]","[2, 1, 1]",True
[7],"[8, 4, 8]","[15, 4, 8]",True
"[10, 20]","[6, 3]","[16, 23]",True
"[0, 0, 0, 0, 0]","[2, 8]","[2, 8, 0, 0, 0]",True
"[1, 0]","[6, 3]","[7, 3]",True
"[10, 20]","[1, 2, 3, 4, 5, 6]","[11, 22, 3, 4, 5, 6]",True
"[3, 4]",[8],"[11, 4]",True
"[2, 8]","[6, 1, 5, 4]","[8, 9, 5, 4]",True
[7],[7],[14],True
"[7, 2, 9]","[3, 7]","[10, 9, 9]",True
"[3, 4]","[2, 5, 5]","[5, 9, 5]",True
"[3, 4]","[5, 5, 5, 3]","[8, 9, 5, 3]",True
"[1, 6]","[6, 3]","[7, 9]",True
"[1, 0]","[6, 3]","[7, 3]",True
"[2, 5, 5]","[1, 2, 3, 4, 5, 6]","[3, 7, 8, 4, 5, 6]",True
[5],"[3, 7]","[8, 7]",True
"[6, 3]","[7, 8]","[13, 11]",True
"[2, 8]","[1, 2, 3]","[3, 10, 3]",True
"[1, 2, 3]","[3, 7]","[4, 9, 3]",True
"[3, 7]","[6, 1, 5, 4]","[9, 8, 5, 4]",True
"[7, 8]","[2, 5, 5]","[9, 13, 5]",True
"[7, 2, 9]","[1, 6]","[8, 8, 9]",True
"[3, 7]",[8],"[11, 7]",True
"[1, 1, 1]","[3, 7]","[4, 8, 1]",True
"[1, 1, 1]","[1, 2, 3]","[2, 3, 4]",True
"[5, 0]","[8, 4, 8]","[13, 4, 8]",True
"[1, 2, 3]",[5],"[6, 2, 3]",True
[8],"[8, 4, 8]","[16, 4, 8]",True
"[7, 8]","[1, 2, 3, 4, 5, 6]","[8, 10, 3, 4, 5, 6]",True
"[5, 5, 5, 3]","[3, 7]","[8, 12, 5, 3]",True
"[8, 4, 8]","[7, 2, 9]","[15, 6, 17]",True
"[1, 0]","[1, 0]","[2, 0]",True
"[8, 4, 8]",[7],"[15, 4, 8]",True
"[6, 3]","[1, 2, 3, 4, 5, 6]","[7, 5, 3, 4, 5, 6]",True
"[1, 2, 3, 4, 5, 6]","[1, 6]","[2, 8, 3, 4, 5, 6]",True
"[10, 20]","[2, 5, 5]","[12, 25, 5]",True
